JT,IF,ISSN
CANCER BIOL MED,4.248,2095-3941
EUR J HUM GENET,4.246,1018-4813
NICOTINE TOB RES,4.244,1462-2203
PHYS DARK UNIVERSE,4.243,2212-6864
TRANSL ONCOL,4.243,1936-5233
AQUACULTURE,4.242,0044-8486
BMC CELL BIOL,4.241,1471-2121
BRIEF FUNCT GENOMICS,4.241,2041-2649
J CLIN MED,4.241,****-****
FOOD BIOSCI,4.24,2212-4292
BREAST CANCER-TOKYO,4.239,1340-6868
REACT CHEM ENG,4.239,2058-9883
ENVIRON SCI-PROC IMP,4.238,2050-7887
CHEM ENG PROCESS,4.237,0255-2701
LUPUS SCI MED,4.235,2053-8790
J OVARIAN RES,4.234,****-****
ADSORPT SCI TECHNOL,4.232,0263-6174
J DIABETES INVEST,4.232,2040-1116
ESOPHAGUS-TOKYO,4.23,1612-9059
PHILOS T R SOC A,4.226,1364-503X
WORLD J UROL,4.226,0724-4983
IND MANAGE DATA SYST,4.224,0263-5577
ENVIRON SCI POLLUT R,4.223,0944-1344
NUTR METAB CARDIOVAS,4.222,0939-4753
SCAND J MED SCI SPOR,4.221,0905-7188
TOXICOLOGY,4.221,0300-483X
EUR J MECH A-SOLID,4.22,0997-7538
J MATER SCI,4.22,0022-2461
SAUDI J BIOL SCI,4.219,1319-562X
TOXICOL APPL PHARM,4.219,0041-008X
ECOSYSTEMS,4.217,1432-9840
BMC PLANT BIOL,4.215,1471-2229
CHEM CENT J,4.215,1752-153X
HEART FAIL REV,4.214,1382-4147
MYCOSPHERE,4.211,2077-7000
EUR THYROID J,4.209,2235-0640
INT J IMPACT ENG,4.208,0734-743X
J PLANT INTERACT,4.208,1742-9145
CLIN EXP OPHTHALMOL,4.207,1442-6404
J CANCER,4.207,1837-9664
REV MINERAL GEOCHEM,4.207,1529-6466
BENEF MICROBES,4.205,1876-2883
FRONT CHEM SCI ENG,4.204,2095-0179
PHARM RES-DORDR,4.2,0724-8741
NUCLEUS-PHILA,4.197,1949-1034
IMMUNOTHERAPY-UK,4.196,1750-743X
TREE PHYSIOL,4.196,0829-318X
IEEE T NETW SERV MAN,4.195,1932-4537
FEMS MICROBIOL ECOL,4.194,0168-6496
INT T OPER RES,4.193,0969-6016
PLANT SOIL,4.192,0032-079X
EUR J CARDIO-THORAC,4.191,1010-7940
EXPERT OPIN EMERG DR,4.191,1472-8214
CAN J DIABETES,4.19,1499-2671
IEEE ELECTR DEVICE L,4.187,0741-3106
NPJ SYST BIOL APPL,4.187,****-****
INT J GEOGR INF SCI,4.186,1365-8816
COMBUST FLAME,4.185,0010-2180
GLOBALIZATION HEALTH,4.185,****-****
ANTHROPOCENE REV,4.182,2053-0196
GUT PATHOG,4.181,1757-4749
SEMIN THROMB HEMOST,4.18,0094-6176
EVOL HUM BEHAV,4.178,1090-5138
AIDS,4.177,0269-9370
ATMOS MEAS TECH,4.176,1867-1381
CLIN ORTHOP RELAT R,4.176,0009-921X
IEEE MICRO,4.175,0272-1732
HUM CELL,4.174,0914-7470
FRONT ECOL EVOL,4.171,2296-701X
J ENDODONT,4.171,0099-2399
MOL PLANT MICROBE IN,4.171,0894-0282
ENERGY SCI ENG,4.17,2050-0505
INT J NUMER METHOD H,4.17,0961-5539
J PLANT GROWTH REGUL,4.169,0721-7595
NJAS-WAGEN J LIFE SC,4.169,1573-5214
NUTR METAB,4.169,****-****
RECENT PAT ANTI-CANC,4.169,1574-8928
TISSUE ENG REGEN MED,4.169,1738-2696
PRESLIA,4.167,0032-7786
SPINE J,4.166,1529-9430
INT J CARDIOL,4.164,0167-5273
J NEUROSCI RES,4.164,0360-4012
KIDNEY INT REP,4.164,2468-0249
DRUG DES DEV THER,4.162,1177-8881
EXPRESS POLYM LETT,4.161,1788-618X
MITOCHONDRION,4.16,1567-7249
J PHYSIOL BIOCHEM,4.158,1138-7548
SURF COAT TECH,4.158,0257-8972
FRONT PSYCHIATRY,4.157,1664-0640
MATH MODEL NAT PHENO,4.157,0973-5348
HYDROMETALLURGY,4.156,0304-386X
J INORG BIOCHEM,4.155,0162-0134
J TEACH PHYS EDUC,4.155,0273-5024
SEDIMENTOLOGY,4.155,0037-0746
J PSYCHOPHARMACOL,4.153,0269-8811
LGBT HEALTH,4.151,2325-8292
FREE RADICAL RES,4.148,1071-5762
J NEUROIMMUNE PHARM,4.147,1557-1890
ONCOTARGETS THER,4.147,1178-6930
QUAL LIFE RES,4.147,0962-9343
ASN NEURO,4.146,1759-0914
CATALYSTS,4.146,****-****
TOXICS,4.146,****-****
JMIR SERIOUS GAMES,4.143,2291-9279
ANAL BIOANAL CHEM,4.142,1618-2642
J LIGHTWAVE TECHNOL,4.142,0733-8724
ADV ENG SOFTW,4.141,0965-9978
INT J LIFE CYCLE ASS,4.141,0948-3349
GEOMORPHOLOGY,4.139,0169-555X
INT J PAVEMENT ENG,4.139,1029-8436
MOL BIOL CELL,4.138,1059-1524
J MINIM INVAS GYN,4.137,1553-4650
EARTH SURF PROC LAND,4.133,0197-9337
ANAESTH CRIT CARE PA,4.132,2352-5568
HUM GENET,4.132,0340-6717
J CARDIOVASC TRANSL,4.132,1937-5387
WORLD J BIOL PSYCHIA,4.132,1562-2975
IEEE T POWER DELIVER,4.131,0885-8977
ADV CLIM CHANG RES,4.13,1674-9278
J NEURO-ONCOL,4.13,0167-594X
OBES SURG,4.129,0960-8923
FUZZY OPTIM DECIS MA,4.128,1568-4539
MICROORGANISMS,4.128,****-****
MICROSC MICROANAL,4.127,1431-9276
CLIN ONCOL-UK,4.126,0936-6555
J PHYS CHEM C,4.126,1932-7447
FEBS LETT,4.124,0014-5793
BIOSYST ENG,4.123,1537-5110
ORPHANET J RARE DIS,4.123,****-****
ENVIRON TOXICOL,4.119,1520-4081
SPORT EDUC SOC,4.119,1357-3322
J R SOC INTERFACE,4.118,1742-5689
TRANSPORT SCI,4.117,0041-1655
PLANTA,4.116,0032-0935
JMIR PUBLIC HLTH SUR,4.112,2369-2960
QUATERNARY SCI REV,4.112,0277-3791
AD HOC NETW,4.111,1570-8705
FOOD ENERGY SECUR,4.109,2048-3694
J CLIN TRANSL HEPATO,4.108,2225-0719
PITUITARY,4.107,1386-341X
MEMBRANES-BASEL,4.106,****-****
AM J GERIAT PSYCHIAT,4.105,1064-7481
APPL ORGANOMET CHEM,4.105,0268-2605
PROSTATE,4.104,0270-4137
ENVIRONMENT,4.103,0013-9157
BIOFUEL BIOPROD BIOR,4.102,1932-104X
IEEE T AERO ELEC SYS,4.102,0018-9251
MOL CELL ENDOCRINOL,4.102,0303-7207
ANN CARDIOTHORAC SUR,4.101,2225-319X
INT J MOL MED,4.101,1107-3756
J BIOMED NANOTECHNOL,4.099,1550-7033
VIROL J,4.099,****-****
BEST PRACT RES CL RH,4.098,1521-6942
J SYST EVOL,4.098,1674-4918
SPECTROCHIM ACTA A,4.098,1386-1425
FORENSIC TOXICOL,4.096,1860-8965
GENES-BASEL,4.096,****-****
MATER CHEM PHYS,4.094,0254-0584
AMYOTROPH LAT SCL FR,4.092,2167-8421
INFLAMMATION,4.092,0360-3997
APPL MATH COMPUT,4.091,0096-3003
J HIGH ENERGY ASTROP,4.091,2214-4048
CLIM RISK MANAG,4.09,2212-0963
PETROL SCI,4.09,1672-5107
ACS APPL POLYM MATER,4.089,2637-6105
ACTA ONCOL,4.089,0284-186X
PLANT GENOME-US,4.089,****-****
DIGEST LIVER DIS,4.088,1590-8658
J GEN PHYSIOL,4.086,0022-1295
NEUROINFORMATICS,4.085,1539-2791
INT J MIN SCI TECHNO,4.084,2095-2686
WORLD ALLERGY ORGAN,4.084,1939-4551
APPL ECON PERSPECT P,4.083,2040-5790
AM J AGR ECON,4.082,0002-9092
J WIND ENG IND AEROD,4.082,0167-6105
ENEURO,4.081,****-****
FRONT NEUROINFORM,4.081,****-****
STROKE VASC NEUROL,4.081,2059-8688
BASIC CLIN PHARMACOL,4.08,1742-7835
PROG OCEANOGR,4.08,0079-6611
BIOCHIMIE,4.079,0300-9084
HEALTH PLACE,4.078,1353-8292
BRAIN RES BULL,4.077,0361-9230
INT J PARASITOL-DRUG,4.077,2211-3207
J GERONTOL B-PSYCHOL,4.077,1079-5014
ARCH PHYSIOL BIOCHEM,4.076,1381-3455
CONTRIB MINERAL PETR,4.076,0010-7999
CRYST GROWTH DES,4.076,1528-7483
MED MYCOL,4.076,1369-3786
PLANT MOL BIOL,4.076,0167-4412
J NUTR HEALTH AGING,4.075,1279-7707
MOL DIAGN THER,4.074,1177-1062
PALAEONTOLOGY,4.073,0031-0239
J BONE ONCOL,4.072,2212-1374
PHYTOCHEMISTRY,4.072,0031-9422
MED PHYS,4.071,0094-2405
CANCER GENOM PROTEOM,4.069,1109-6535
INT J CLIMATOL,4.069,0899-8418
EXCLI J,4.068,1611-2156
GPS SOLUT,4.066,1080-5370
CELL TRANSPLANT,4.064,0963-6897
VIRCHOWS ARCH,4.064,0945-6317
PUBL MATH-PARIS,4.063,0073-8301
J CLIN SLEEP MED,4.062,1550-9389
AM J TRANSL RES,4.06,1943-8141
MOBILE DNA-UK,4.06,1759-8753
BMC BIOCHEM,4.059,1471-2091
EXP HEAT TRANSFER,4.058,0891-6152
CARIES RES,4.056,0008-6568
J DIGIT IMAGING,4.056,0897-1889
APPL MATH LETT,4.055,0893-9659
CPT-PHARMACOMET SYST,4.054,2163-8306
J REPROD IMMUNOL,4.054,0165-0378
AM J PHYSIOL-GASTR L,4.052,0193-1857
MATER SCI ENG B-ADV,4.051,0921-5107
EUR J SPORT SCI,4.05,1746-1391
J NAT PROD,4.05,0163-3864
J EAT DISORD,4.049,2050-2974
NEUROSURG FOCUS,4.047,1092-0684
APPL SOIL ECOL,4.046,0929-1393
INT J MED INFORM,4.046,1386-5056
J PROTEOMICS,4.044,1874-3919
NMR BIOMED,4.044,0952-3480
J GEOPHYS RES-EARTH,4.041,2169-9003
MOL BRAIN,4.041,****-****
PHYS REV B,4.036,2469-9950
ECOL ENG,4.035,0925-8574
INT J METH PSYCH RES,4.035,1049-8931
J GLOB ANTIMICROB RE,4.035,2213-7165
NEONATOLOGY,4.035,1661-7800
J DAIRY SCI,4.034,0022-0302
BIOPHYS J,4.033,0006-3495
EXP GERONTOL,4.032,0531-5565
THER ADV RESPIR DIS,4.031,1753-4658
J PHARMACOL EXP THER,4.03,0022-3565
MECH ADV MATER STRUC,4.03,1537-6494
J GASTROEN HEPATOL,4.029,0815-9319
ANN STAT,4.028,0090-5364
SUSTAIN COMPUT-INFOR,4.028,2210-5379
CORTEX,4.027,0010-9452
DIAGN INTERV IMAG,4.026,2211-5684
J NEURODEV DISORD,4.025,1866-1947
LASER SURG MED,4.025,0196-8092
MOL HUM REPROD,4.025,****-****
PHYTOPATHOLOGY,4.025,0031-949X
J ANAL ATOM SPECTROM,4.023,0267-9477
PUBLIC HEALTH NUTR,4.022,1368-9800
SYST APPL MICROBIOL,4.022,0723-2020
PREV MED,4.018,0091-7435
THEOR APPL FRACT MEC,4.017,0167-8442
EUR J CLIN NUTR,4.016,0954-3007
IEEE T INSTRUM MEAS,4.016,0018-9456
JPEN-PARENTER ENTER,4.016,0148-6071
PSYCHOPHYSIOLOGY,4.016,0048-5772
CHEM GEOL,4.015,0009-2541
COMPUT MECH,4.014,0178-7675
HEALTH TECHNOL ASSES,4.014,1366-5278
ARCH BIOCHEM BIOPHYS,4.013,0003-9861
INT J MACH LEARN CYB,4.012,1868-8071
J GEOTECH GEOENVIRON,4.012,1090-0241
INT J MECH MATER DES,4.011,1569-1713
J DIABETES RES,4.011,2314-6745
J KING SAUD UNIV SCI,4.011,1018-3647
ENDOCRINOL METAB,4.01,2093-596X
INT J SPORT PHYSIOL,4.01,1555-0265
AAPS J,4.009,1550-7416
FRONT BIOSCI-LANDMRK,4.009,1093-9946
COMPUT OPER RES,4.008,0305-0548
FARADAY DISCUSS,4.008,1359-6640
FRONT ENERGY RES,4.008,2296-598X
NUTRITION,4.008,0899-9007
J DIABETES,4.006,1753-0393
PROSTAG LEUKOTR ESS,4.006,0952-3278
J DERMATOL,4.005,0385-2407
ADV THEOR SIMUL,4.004,****-****
LITHOS,4.004,0024-4937
FRONT NEUROL,4.003,1664-2295
INFECT DRUG RESIST,4.003,1178-6973
RARE METALS,4.003,1001-0521
PEDIATR OBES,4,2047-6310
PHYS TODAY,4,0031-9228
RISK ANAL,4,0272-4332
NEUROCHEM RES,3.996,0364-3190
PANCREATOLOGY,3.996,1424-3903
J PHYS CHEM SOLIDS,3.995,0022-3697
MATH PROGRAM,3.995,0025-5610
J EARTHQ ENG,3.994,1363-2469
AICHE J,3.993,0001-1541
HIGH POWER LASER SCI,3.992,2095-4719
RES MICROBIOL,3.992,0923-2508
BBA-BIOENERGETICS,3.991,0005-2728
CANCER MANAG RES,3.989,1179-1322
PHYS REV MATER,3.989,2475-9953
CLIN PROTEOM,3.988,1542-6416
J GRID COMPUT,3.986,1570-7873
CLIN EXP MED,3.984,1591-8890
J OPT COMMUN NETW,3.984,1943-0620
PROTEOMICS,3.984,1615-9853
R J,3.984,2073-4859
PHOTOCH PHOTOBIO SCI,3.982,1474-905X
SURGERY,3.982,0039-6060
INT J PARASITOL,3.981,0020-7519
J DRUG DELIV SCI TEC,3.981,1773-2247
J SLEEP RES,3.981,0962-1105
PAEDIATR PERINAT EP,3.98,0269-5022
BIOCHEM ENG J,3.978,1369-703X
BRAIN IMAGING BEHAV,3.978,1931-7557
BRIT J PHILOS SCI,3.978,0007-0882
INT J BIO-INSPIR COM,3.977,1758-0366
J COMPUT SCI-NETH,3.976,1877-7503
FERMENTATION-BASEL,3.975,****-****
REACT FUNCT POLYM,3.975,1381-5148
BMC GENOMICS,3.969,1471-2164
CLIN IMMUNOL,3.969,1521-6616
ARCH PHYS MED REHAB,3.966,0003-9993
IEEE GEOSCI REMOTE S,3.966,1545-598X
ANTHROPOCENE,3.964,2213-3054
DEV NEUROBIOL,3.964,1932-8451
J TISSUE ENG REGEN M,3.963,1932-6254
PESTIC BIOCHEM PHYS,3.963,0048-3575
EXP DERMATOL,3.96,0906-6705
AM J ROENTGENOL,3.959,0361-803X
INT GEOL REV,3.958,0020-6814
J NEUROSURG ANESTH,3.956,0898-4921
J INTENSIVE CARE,3.953,2052-0492
CURR HEMATOL MALIG R,3.952,1558-8211
J CONSTR ENG M,3.951,0733-9364
COMPUT CONCRETE,3.948,1598-8198
J CARDIOVASC DEV DIS,3.948,****-****
J QUAL TECHNOL,3.946,0022-4065
ANN CLIN MICROB ANTI,3.944,****-****
THROMB RES,3.944,0049-3848
EGYPT INFORM J,3.943,1110-8665
ENDOCR PATHOL,3.943,1046-3976
TRANSPLANT REV-ORLAN,3.943,0955-470X
EUR CELLS MATER,3.942,1473-2262
OBESITY FACTS,3.942,1662-4025
EXPERT REV PROTEOMIC,3.94,1478-9450
CSEE J POWER ENERGY,3.938,2096-0042
J PHARMACEUT BIOMED,3.935,0731-7085
PLANTS-BASEL,3.935,****-****
ANN BIOMED ENG,3.934,0090-6964
TECTONOPHYSICS,3.933,0040-1951
ANN TRANSL MED,3.932,2305-5839
CLIN IMPLANT DENT R,3.932,1523-0899
J SAUDI CHEM SOC,3.932,1319-6103
EUR J PAIN,3.931,1090-3801
IEEE SYST J,3.931,1932-8184
PRION,3.931,1933-6896
IET RENEW POWER GEN,3.93,1752-1416
MED CARE RES REV,3.929,1077-5587
MAT SCI SEMICON PROC,3.927,1369-8001
MEASUREMENT,3.927,0263-2241
AM NAT,3.926,0003-0147
J HOSP INFECT,3.926,0195-6701
SEMIN FETAL NEONAT M,3.926,1744-165X
J COMPOS CONSTR,3.925,1090-0268
DRUG AGING,3.923,1170-229X
DRUG METAB DISPOS,3.922,0090-9556
BMC GERIATR,3.921,****-****
NEUROCHEM INT,3.921,0197-0186
PLANT FOOD HUM NUTR,3.921,0921-9668
IEEE-ACM T AUDIO SPE,3.919,2329-9290
NEUROREHAB NEURAL RE,3.919,1545-9683
FOOD TECHNOL BIOTECH,3.918,1330-9862
INT J HEALTH GEOGR,3.918,1476-072X
CIRP ANN-MANUF TECHN,3.916,0007-8506
IEEE J EM SEL TOP C,3.916,2156-3357
BIOL CHEM,3.915,1431-6730
PSYCHOL PSYCHOTHER-T,3.915,1476-0835
INT J HYPERTHER,3.914,0265-6736
ADDICT BEHAV,3.913,0306-4603
PHARMACOGEN PERS MED,3.912,****-****
EUR PHYS J PLUS,3.911,2190-5444
NEUROTOX RES,3.911,1029-8428
PEDOSPHERE,3.911,1002-0160
BIODEGRADATION,3.909,0923-9820
CANCER IMAGING,3.909,1740-5025
AM J MED GENET C,3.908,1552-4868
EUR J CARDIOVASC NUR,3.908,1474-5151
XENOTRANSPLANTATION,3.907,0908-665X
INTERFACE FOCUS,3.906,2042-8898
ONCOL REP,3.906,1021-335X
REPRODUCTION,3.906,1470-1626
EXP CELL RES,3.905,0014-4827
OIKOS,3.903,0030-1299
CORAL REEFS,3.902,0722-4028
J NEPHROL,3.902,1121-8428
J MECH BEHAV BIOMED,3.902,1751-6161
INT J RAIL TRANSP,3.9,2324-8378
INT J SOLIDS STRUCT,3.9,0020-7683
HIPPOCAMPUS,3.899,1050-9631
SUSTAIN ENERGY GRIDS,3.899,2352-4677
APPL COMPUT MATH-BAK,3.898,1683-3511
J MATER SCI-MATER M,3.896,0957-4530
J HUM EVOL,3.895,0047-2484
FOOD NUTR RES,3.894,1654-6628
IEEE T NETW SCI ENG,3.894,2327-4697
OPT EXPRESS,3.894,1094-4087
PSYCHO-ONCOLOGY,3.894,1057-9249
WEAR,3.892,0043-1648
J GEN VIROL,3.891,0022-1317
EXPERT OPIN PHARMACO,3.889,1465-6566
IEEE J PHOTOVOLT,3.887,2156-3381
AM J REPROD IMMUNOL,3.886,1046-7408
CURR GENET,3.886,0172-8083
IUBMB LIFE,3.885,1521-6543
SOC STUD SCI,3.885,0306-3127
J FLOOD RISK MANAG,3.884,1753-318X
J HEALTH ECON,3.883,0167-6296
PATIENT,3.883,1178-1653
LANGMUIR,3.882,0743-7463
EMERGENCIAS,3.881,1137-6821
BIOMED SIGNAL PROCES,3.88,1746-8094
DIFFERENTIATION,3.88,0301-4681
NANOCOMPOSITES,3.879,2055-0324
EUR REV AGING PHYS A,3.878,1813-7253
INT PSYCHOGERIATR,3.878,1041-6102
COMPUT VIS IMAGE UND,3.876,1077-3142
LIPIDS HEALTH DIS,3.876,****-****
ORG BIOMOL CHEM,3.876,1477-0520
ORGANOMETALLICS,3.876,0276-7333
PARASITE VECTOR,3.876,1756-3305
ADV ANAT PATHOL,3.875,1072-4109
APPL WATER SCI,3.874,2190-5487
NANOTECHNOLOGY,3.874,0957-4484
HYPERTENS RES,3.872,0916-9636
J INF SECUR APPL,3.872,2214-2126
J SOIL SCI PLANT NUT,3.872,0718-9508
PLASMA PROCESS POLYM,3.872,1612-8850
INT J REFRACT MET H,3.871,0263-4368
ADV PARASIT,3.87,0065-308X
EXPERT REV GASTROENT,3.869,1747-4124
HORM CANCER-US,3.869,1868-8497
APPETITE,3.868,0195-6663
GEORISK,3.868,1749-9518
OPT LASER TECHNOL,3.867,0030-3992
MECH MACH THEORY,3.866,0094-114X
IEEE T BROADCAST,3.863,0018-9316
ADV ENG MATER,3.862,1438-1656
MINI-REV MED CHEM,3.862,1389-5575
PLATELETS,3.862,0953-7104
CYTOKINE,3.861,1043-4666
INT FORUM ALLERGY RH,3.858,2042-6976
BIOCHEM J,3.857,0264-6021
FRONT NEUROANAT,3.856,1662-5129
ADV HEALTH SCI EDUC,3.853,1382-4996
SEMIN HEMATOL,3.851,0037-1963
INVEST NEW DRUG,3.85,0167-6997
CHEMPHOTOCHEM,3.849,2367-0932
J TRACE ELEM MED BIO,3.849,0946-672X
ACTA BIOCH BIOPH SIN,3.848,1672-9145
J GEOPHYS RES-SOL EA,3.848,2169-9313
LANDSCAPE ECOL,3.848,0921-2973
CEREBELLUM,3.847,1473-4222
GLOB CHALL,3.847,****-****
MATER TECHNOL,3.846,1066-7857
ADV THER,3.845,0741-238X
COMPUT CHEM ENG,3.845,0098-1354
TISSUE ENG PT A,3.845,1937-3341
AM J BOT,3.844,0002-9122
SYST ENTOMOL,3.844,0307-6970
NEUROMOL MED,3.843,1535-1084
SPORTS HEALTH,3.843,1941-7381
ANDROLOGY-US,3.842,2047-2919
NEURAL DEV,3.842,****-****
THER ADV DRUG SAF,3.842,2042-0986
BIOSCIENCE REP,3.84,0144-8463
J ONCOL PRACT,3.84,1554-7477
POSTGRAD MED,3.84,0032-5481
J ORAL REHABIL,3.837,0305-182X
QUANT IMAG MED SURG,3.837,2223-4292
EUR REV AGRIC ECON,3.836,0165-1587
INT J MENT HEALTH AD,3.836,1557-1874
OPEN FORUM INFECT DI,3.835,2328-8957
IEEE ANTENN WIREL PR,3.834,1536-1225
IEEE T BIOMED CIRC S,3.833,1932-4545
INT J FOOD SCI NUTR,3.833,0963-7486
MYCOTOXIN RES,3.833,0178-7888
BIOIMPACTS,3.831,2228-5652
AM J DRUG ALCOHOL AB,3.829,0095-2990
BRIT J BIOMED SCI,3.829,0967-4845
CURR STEM CELL RES T,3.828,1574-888X
REPROD BIOMED ONLINE,3.828,1472-6483
B EARTHQ ENG,3.827,1570-761X
AM J NEURORADIOL,3.825,0195-6108
CONTINUUM MECH THERM,3.822,0935-1175
J GEOPHYS RES-BIOGEO,3.822,2169-8953
HEREDITY,3.821,0018-067X
INT J GEOMECH,3.819,1532-3641
ADV STUD BEHAV,3.818,0065-3454
COMPUT ELECTR ENG,3.818,0045-7906
J FAM NURS,3.818,1074-8407
LIFE-BASEL,3.817,****-****
MATH MOD METH APPL S,3.817,0218-2025
INT J APPROX REASON,3.816,0888-613X
DES AUTOM EMBED SYST,3.815,0929-5585
FRESHWATER BIOL,3.809,0046-5070
ORE GEOL REV,3.809,0169-1368
FUTURE MED CHEM,3.808,1756-8919
MAR CHEM,3.807,0304-4203
GASTROENTEROL CLIN N,3.806,0889-8553
NEUROL CLIN,3.806,0733-8619
REGEN MED,3.806,1746-0751
INT J ELEC ENG EDUC,3.804,0020-7209
PETROL EXPLOR DEV+,3.803,1000-0747
WIRES ENERGY ENVIRON,3.803,2041-8396
IEEE T NEUR SYS REH,3.802,1534-4320
J SEX MED,3.802,1743-6095
DM-DIS MON,3.8,0011-5029
J GEOL SOC LONDON,3.8,0016-7649
ONE HEALTH-AMSTERDAM,3.8,****-****
ANN EPIDEMIOL,3.797,1047-2797
OCEAN ENG,3.795,0029-8018
ROAD MATER PAVEMENT,3.792,1468-0629
APPL PHYS LETT,3.791,0003-6951
ARCH DIS CHILD,3.791,0003-9888
CNS SPECTRUMS,3.79,1092-8529
IEEE CONSUM ELECTR M,3.789,2162-2248
COLORECTAL DIS,3.788,1462-8910
HYDROLOG SCI J,3.787,0262-6667
INT J BIOMETEOROL,3.787,0020-7128
CLIN CHIM ACTA,3.786,0009-8981
SOLID STATE IONICS,3.785,0167-2738
ACS COMB SCI,3.784,2156-8952
IEEE J-STARS,3.784,1939-1404
J AM CERAM SOC,3.784,0002-7820
TRANSPL INT,3.782,0934-0874
J ENVIRON SCI HEAL C,3.781,1059-0501
TECH COLOPROCTOL,3.781,1123-6337
DEV DYNAM,3.78,1058-8388
HEPATOB PANCREAT DIS,3.78,1499-3872
J NUMER MATH,3.778,1570-2820
J SYST ARCHITECT,3.777,1383-7621
OPT LETT,3.776,0146-9592
EYE,3.775,0950-222X
J STRENGTH COND RES,3.775,1064-8011
CMC-COMPUT MATER CON,3.772,1546-2218
EXPERT REV RESP MED,3.772,1747-6348
J APPL MICROBIOL,3.772,1364-5072
BBA-GEN SUBJECTS,3.77,0304-4165
CR PHYS,3.769,1631-0705
FOOD STRUCT-NETH,3.769,2213-3291
J FIELD ROBOT,3.767,1556-4959
PLANT REPROD,3.767,2194-7953
J PHARM PHARMACOL,3.765,0022-3573
PURINERG SIGNAL,3.765,1573-9538
AIR QUAL ATMOS HLTH,3.763,1873-9318
NEUROTOXICOL TERATOL,3.763,0892-0362
WORLD J DIABETES,3.763,****-****
ACTA OPHTHALMOL,3.761,1755-375X
CURR OPIN OPHTHALMOL,3.761,1040-8738
BEHAV BRAIN FUNCT,3.759,****-****
INTERMETALLICS,3.758,0966-9795
P COMBUST INST,3.757,1540-7489
PROCESS BIOCHEM,3.757,1359-5113
PATTERN RECOGN LETT,3.756,0167-8655
PEDIATR RES,3.756,0031-3998
PROTEINS,3.756,0887-3585
J GEOPHYS RES-PLANET,3.755,2169-9097
AM J NEPHROL,3.754,0250-8095
SEISMOL RES LETT,3.754,0895-0695
SPECTROCHIM ACTA B,3.752,0584-8547
ARCH PHARM,3.751,0365-6233
BUILD SIMUL-CHINA,3.751,1996-3599
GEOMECH GEOPHYS GEO,3.75,2363-8419
PAIN MED,3.75,1526-2375
PEPTIDES,3.75,0196-9781
BBA-BIOMEMBRANES,3.747,0005-2736
TRANSFUS MED HEMOTH,3.747,1660-3796
J GEOCHEM EXPLOR,3.746,0375-6742
INT J THERM SCI,3.744,1290-0729
POLYCYCL AROMAT COMP,3.744,1040-6638
TICKS TICK-BORNE DIS,3.744,1877-959X
MOL OMICS,3.743,****-****
ENVIRON TOXICOL CHEM,3.742,0730-7268
IEEE ROBOT AUTOM LET,3.741,2377-3766
CHEM ENG RES DES,3.739,0263-8762
CHEM RES TOXICOL,3.739,0893-228X
NDT&E INT,3.739,0963-8695
Q J ROY METEOR SOC,3.739,0035-9009
BIOL TRACE ELEM RES,3.738,0163-4984
INT J GREENH GAS CON,3.738,1750-5836
INT J MED SCI,3.738,1449-1907
J CLIN HYPERTENS,3.738,1524-6175
MICROB PATHOGENESIS,3.738,0882-4010
PROPULS POWER RES,3.738,2212-540X
COMPR PSYCHIAT,3.735,0010-440X
MON WEATHER REV,3.735,0027-0644
J PARALLEL DISTR COM,3.734,0743-7315
NEUROPHYSIOL CLIN,3.734,0987-7053
ALEX ENG J,3.732,1110-0168
BIOMED OPT EXPRESS,3.732,2156-7085
HARVARD REV PSYCHIAT,3.732,1067-3229
CURR DRUG METAB,3.731,1389-2002
JAIDS-J ACQ IMM DEF,3.731,1525-4135
NEW J PHYS,3.729,1367-2630
BAYESIAN ANAL,3.728,1931-6690
J VIRAL HEPATITIS,3.728,1352-0504
CARDIOVASC DRUG THER,3.727,0920-3206
INT J DISAST RISK SC,3.727,2095-0055
COLD REG SCI TECHNOL,3.726,0165-232X
CAN GEOTECH J,3.725,0008-3674
CURR INFECT DIS REP,3.725,1523-3847
HEMATOL ONCOL CLIN N,3.722,0889-8588
J IND TEXT,3.721,1528-0837
ORG ELECTRON,3.721,1566-1199
IEEE T LEARN TECHNOL,3.72,1939-1382
IND ENG CHEM RES,3.72,0888-5885
J GASTRIC CANCER,3.72,2093-582X
MINERVA UROL NEFROL,3.72,0393-2249
BRIT J NUTR,3.718,0007-1145
J INFECT PUBLIC HEAL,3.718,1876-0341
SOIL DYN EARTHQ ENG,3.718,0267-7261
ACTA ORTHOP,3.717,1745-3674
INT J SUST DEV WORLD,3.716,1350-4509
SUBST ABUS,3.716,0889-7077
BIOMED MATER,3.715,1748-6041
CELL MICROBIOL,3.715,1462-5814
PEDIATR NEPHROL,3.714,0931-041X
INT J FOOD SCI TECH,3.713,0950-5423
J RARE EARTH,3.712,1002-0721
IEEE ACM T COMPUT BI,3.71,1545-5963
J EPIDEMIOL COMMUN H,3.71,0143-005X
J REINF PLAST COMP,3.71,0731-6844
FRONT PUBLIC HEALTH,3.709,****-****
CLIN NEUROPHYSIOL,3.708,1388-2457
DIAGNOSTICS,3.706,****-****
BIOL LETTERS,3.703,1744-9561
WASTE BIOMASS VALORI,3.703,1877-2641
J ADDICT MED,3.702,1932-0620
J VIRUS ERAD,3.696,2055-6640
