"issn","jfull","jabbr","impact"
"1477-2213","Journal of Asian natural products research","J Asian Nat Prod Res",NA
"1523-7036","The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia","J Gend Specif Med",NA
"1520-4081","Environmental toxicology","Environ Toxicol",4.119
"1522-7278","Environmental toxicology","Environ Toxicol",NA
"1398-2273","Transplant infectious disease : an official journal of the Transplantation Society","Transpl Infect Dis",2.228
"1399-3062","Transplant infectious disease : an official journal of the Transplantation Society","Transpl Infect Dis",NA
"1462-3846","Clinical evidence","Clin Evid",NA
"1752-8526","Clinical evidence","Clin Evid",NA
"1096-1372","Women alive (Los Angeles, Calif.)","Women Alive",NA
"1195-5252","Canadian HIV-AIDS policy & law newsletter","Can HIV AIDS Policy Law Newsl",NA
"0017-467X","Ground water","Ground Water",2.671
"1745-6584","Ground water","Ground Water",NA
"1369-6513","Health expectations : an international journal of public participation in health care and health policy","Health Expect",3.377
"1369-7625","Health expectations : an international journal of public participation in health care and health policy","Health Expect",NA
"1098-3600","Genetics in medicine : official journal of the American College of Medical Genetics","Genet Med",8.822
"1530-0366","Genetics in medicine : official journal of the American College of Medical Genetics","Genet Med",NA
"1522-3434","Mental health services research","Ment Health Serv Res",NA
"1573-6636","Mental health services research","Ment Health Serv Res",NA
"0969-6970","Angiogenesis","Angiogenesis",9.596
"1573-7209","Angiogenesis","Angiogenesis",NA
"1369-7137","Climacteric : the journal of the International Menopause Society","Climacteric",3.005
"1473-0804","Climacteric : the journal of the International Menopause Society","Climacteric",NA
"1096-6218","Journal of palliative medicine","J Palliat Med",2.947
"1557-7740","Journal of palliative medicine","J Palliat Med",NA
"1025-5842","Computer methods in biomechanics and biomedical engineering","Comput Methods Biomech Biomed Engin",1.763
"1476-8259","Computer methods in biomechanics and biomedical engineering","Comput Methods Biomech Biomed Engin",NA
"1265-4906","Hernia : the journal of hernias and abdominal wall surgery","Hernia",4.739
"1248-9204","Hernia : the journal of hernias and abdominal wall surgery","Hernia",NA
"1117-1936","The Nigerian postgraduate medical journal","Niger Postgrad Med J",NA
"1360-1105","International history of nursing journal : IHNJ","Int Hist Nurs J",NA
"1087-3244","American journal of health behavior","Am J Health Behav",NA
"1945-7359","American journal of health behavior","Am J Health Behav",NA
"1095-158X","Psychiatric rehabilitation journal","Psychiatr Rehabil J",NA
"1559-3126","Psychiatric rehabilitation journal","Psychiatr Rehabil J",NA
"1355-4794","Neurocase","Neurocase",0.881
"1465-3656","Neurocase","Neurocase",NA
"0944-1344","Environmental science and pollution research international","Environ Sci Pollut Res Int",4.223
"1614-7499","Environmental science and pollution research international","Environ Sci Pollut Res Int",NA
"1351-5578","Nurse researcher","Nurse Res",NA
"2047-8992","Nurse researcher","Nurse Res",NA
"0033-488X","Quaderni della nutrizione","Quad Nutr",NA
"0032-7867","La Presse medicale","Presse Med (1893)",NA
"0026-4776","Minerva gastroenterologica","Minerva Gastroenterol",3.072
"0531-559X","Experimental neurology. Supplement","Exp Neurol Suppl",NA
"0529-9608","La Clinica ginecologica","Clin Ginecol",NA
"0001-6152","Acta medicinae Okayama","Acta Med Okayama (1952)",NA
"0001-5393","Acta chemica Scandinavica","Acta Chem Scand",NA
"0174-3031","Zentralblatt fur Bakteriologie, Mikrobiologie und Hygiene. 1. Abt. Originale A, Medizinische Mikrobiologie, Infektionskrankheiten und Parasitologie = International journal of microbiology and hygiene. A, Medical microbiology, infectious...","Zentralbl Bakteriol Mikrobiol Hyg A Med Mikrobiol Infekt Parasitol",NA
"0300-9912","Anales de la Facultad de Quimica y Farmacia","An Fac Quim Farm (Santiago)",NA
"0271-7352","American journal of reproductive immunology : AJRI : official journal of the American Society for the Immunology of Reproduction and the International Coordination Committee for Immunology of Reproduction","Am J Reprod Immunol (1980)",NA
"2374-8184","American journal of reproductive immunology : AJRI : official journal of the American Society for the Immunology of Reproduction and the International Coordination Committee for Immunology of Reproduction","Am J Reprod Immunol (1980)",NA
"0914-3777","Chudoku kenkyu : Chudoku Kenkyukai jun kikanshi = The Japanese journal of toxicology","Chudoku Kenkyu",NA
"0964-5284","Acupuncture in medicine : journal of the British Medical Acupuncture Society","Acupunct Med",2.267
"1759-9873","Acupuncture in medicine : journal of the British Medical Acupuncture Society","Acupunct Med",NA
"1076-7460","The American journal of geriatric cardiology","Am J Geriatr Cardiol",NA
"1751-715X","The American journal of geriatric cardiology","Am J Geriatr Cardiol",NA
"0999-193X","Genetics, selection, evolution : GSE","Genet Sel Evol",4.297
"1297-9686","Genetics, selection, evolution : GSE","Genet Sel Evol",NA
"0960-3123","International journal of environmental health research","Int J Environ Health Res",3.411
"1369-1619","International journal of environmental health research","Int J Environ Health Res",NA
"0936-6768","Reproduction in domestic animals = Zuchthygiene","Reprod Domest Anim",2.005
"1439-0531","Reproduction in domestic animals = Zuchthygiene","Reprod Domest Anim",NA
"1046-3976","Endocrine pathology","Endocr Pathol",3.943
"1559-0097","Endocrine pathology","Endocr Pathol",NA
"0957-4824","Health promotion international","Health Promot Int",2.483
"1460-2245","Health promotion international","Health Promot Int",NA
"0896-1549","Ophthalmology clinics of North America","Ophthalmol Clin North Am",NA
"0169-7722","Journal of contaminant hydrology","J Contam Hydrol",3.188
"1873-6009","Journal of contaminant hydrology","J Contam Hydrol",NA
"0250-3301","Huan jing ke xue= Huanjing kexue","Huan Jing Ke Xue",NA
"0254-8704","Journal of environmental biology","J Environ Biol",NA
"2394-0379","Journal of environmental biology","J Environ Biol",NA
"0194-2638","Physical & occupational therapy in pediatrics","Phys Occup Ther Pediatr",2.36
"1541-3144","Physical & occupational therapy in pediatrics","Phys Occup Ther Pediatr",NA
"0277-2973","Journal of psychiatric nursing","J Psychiatr Nurs",NA
"0160-4120","Environment international","Environ Int",9.621
"1873-6750","Environment international","Environ Int",NA
"0098-0331","Journal of chemical ecology","J Chem Ecol",2.626
"1573-1561","Journal of chemical ecology","J Chem Ecol",NA
"0301-4797","Journal of environmental management","J Environ Manage",6.789
"1095-8630","Journal of environmental management","J Environ Manage",NA
"0044-7447","Ambio","Ambio",5.129
"1654-7209","Ambio","Ambio",NA
"0015-6426","Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan","Shokuhin Eiseigaku Zasshi",0.464
"1882-1006","Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan","Shokuhin Eiseigaku Zasshi",NA
"1431-8172","Zeitschrift fur klinische Psychologie, Psychiatrie und Psychotherapie","Z Klin Psychol Psychiatr Psychother",NA
"1523-2883","Positively aware : the monthly journal of the Test Positive Aware Network","Posit Aware",NA
"1045-5418","Pediatric AIDS and HIV infection","Pediatr AIDS HIV Infect",NA
"1058-708X","BETA : bulletin of experimental treatments for AIDS : a publication of the San Francisco AIDS Foundation","BETA",NA
"1047-0719","Focus (San Francisco, Calif.)","Focus",NA
"1551-8965","NIH guide for grants and contracts (Online)","NIH Guide Grants Contracts",NA
"1462-2815","Community practitioner : the journal of the Community Practitioners' & Health Visitors' Association","Community Pract",NA
"1462-138X","RCM midwives journal : official journal of the Royal College of Midwives","RCM Midwives J",NA
"0300-9564","Journal of neural transmission (Vienna, Austria : 1996)","J Neural Transm (Vienna)",3.575
"1435-1463","Journal of neural transmission (Vienna, Austria : 1996)","J Neural Transm (Vienna)",NA
"2376-4317","South Carolina nurse (Columbia, S.C. : 1994)","S C Nurse (1994)",NA
"1085-7605","Critical Path AIDS project","Crit Path AIDS Proj",NA
"0067-6489","Roczniki Akademii Medycznej w Bialymstoku = Annales Academiae Medicae Bialostocensis","Rocz Akad Med Bialymst (1989)",NA
"1043-1543","AIDS clinical care","AIDS Clin Care",NA
"1052-4207","AIDS treatment news","AIDS Treat News",NA
"1944-7949","AIDS treatment news","AIDS Treat News",NA
"0893-5068","AIDS patient care","AIDS Patient Care",NA
"2332-4023","AIDS patient care","AIDS Patient Care",NA
"0887-1493","AIDS policy & law","AIDS Policy Law",NA
"0887-0292","AIDS alert","AIDS Alert",NA
"0731-6984","Critical reviews in bioengineering","Crit Rev Bioeng",NA
"0001-026X","AAUP bulletin : quarterly publication of the American Association of University Professors","AAUP Bull",NA
"0013-1873","The Educational record","Educ Rec",NA
"0021-9398","Journal of business (Chicago, Ill.)","J Bus",NA
"1537-5374","Journal of business (Chicago, Ill.)","J Bus",NA
"0022-0515","Journal of economic literature","J Econ Lit",NA
"0341-0471","Zeitschrift fur Naturforschung. Teil C: Biochemie, Biophysik, Biologie, Virologie","Z Naturforsch C",NA
"0009-4730","Chirurgia","Chirurgia (1951)",NA
"0897-5957","Cardiovascular drug reviews","Cardiovasc Drug Rev",NA
"1077-1824","GMHC treatment issues : the Gay Men's Health Crisis newsletter of experimental AIDS therapies","GMHC Treat Issues",NA
"0148-3927","Clinical and experimental hypertension","Clin Exp Hypertens (1978)",NA
"0376-0901","Giornale italiano di dermatologia","G Ital Dermatol",NA
"1520-8745","Research initiative, treatment action : RITA","Res Initiat Treat Action",NA
"1464-8431","Current opinion in molecular therapeutics","Curr Opin Mol Ther",NA
"2040-3445","Current opinion in molecular therapeutics","Curr Opin Mol Ther",NA
"1545-9683","Neurorehabilitation and neural repair","Neurorehabil Neural Repair",3.919
"1552-6844","Neurorehabilitation and neural repair","Neurorehabil Neural Repair",NA
"1551-8876","Survival news (Atlanta, Ga.)","Surviv News (Atlanta Ga)",NA
"1551-8914","Survival news (Atlanta, Ga.)","Surviv News (Atlanta Ga)",NA
"1398-1714","Reviews in immunogenetics","Rev Immunogenet",NA
"1398-5647","Bipolar disorders","Bipolar Disord",6.744
"1399-5618","Bipolar disorders","Bipolar Disord",NA
"1462-2416","Pharmacogenomics","Pharmacogenomics",2.533
"1744-8042","Pharmacogenomics","Pharmacogenomics",NA
"1367-6733","Current opinion in drug discovery & development","Curr Opin Drug Discov Devel",NA
"2040-3437","Current opinion in drug discovery & development","Curr Opin Drug Discov Devel",NA
"1093-4529","Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering","J Environ Sci Health A Tox Hazard Subst Environ Eng",2.269
"1532-4117","Journal of environmental science and health. Part A, Toxic/hazardous substances & environmental engineering","J Environ Sci Health A Tox Hazard Subst Environ Eng",NA
"1551-8396","The Hopkins HIV report : a bimonthly newsletter for healthcare providers","Hopkins HIV Rep",NA
"1074-3219","The Journal of cranio-maxillofacial trauma","J Craniomaxillofac Trauma",NA
"1015-7867","Pacific health dialog","Pac Health Dialog",NA
"1538-0726","WORLD (Oakland, Calif. : 1993)","WORLD",NA
"1101-1262","European journal of public health","Eur J Public Health",3.367
"1464-360X","European journal of public health","Eur J Public Health",NA
"0367-827X","Indian journal of environmental health","Indian J Environ Health",NA
"0792-9935","Refu'at ha-peh veha-shinayim (1993)","Refuat Hapeh Vehashinayim (1993)",NA
"1088-3886","Dental assistant (Chicago, Ill. : 1994)","Dent Assist",NA
"1527-6538","Reflections on nursing leadership","Reflect Nurs Leadersh",NA
"1091-5818","International journal of toxicology","Int J Toxicol",2.032
"1092-874X","International journal of toxicology","Int J Toxicol",NA
"1465-6566","Expert opinion on pharmacotherapy","Expert Opin Pharmacother",3.889
"1744-7666","Expert opinion on pharmacotherapy","Expert Opin Pharmacother",NA
"1053-8569","Pharmacoepidemiology and drug safety","Pharmacoepidemiol Drug Saf",2.89
"1099-1557","Pharmacoepidemiology and drug safety","Pharmacoepidemiol Drug Saf",NA
"1527-0297","High altitude medicine & biology","High Alt Med Biol",1.981
"1557-8682","High altitude medicine & biology","High Alt Med Biol",NA
"1096-214X","Sleep research online : SRO","Sleep Res Online",NA
"0734-242X","Waste management & research : the journal of the International Solid Wastes and Public Cleansing Association, ISWA","Waste Manag Res",3.549
"1096-3669","Waste management & research : the journal of the International Solid Wastes and Public Cleansing Association, ISWA","Waste Manag Res",NA
"0014-2964","European journal of cancer","Eur J Cancer (1965)",NA
"0568-0123","Advances in pharmacology","Adv Pharmacol (1962)",NA
"1528-848X","Nursing law's Regan report","Nurs Law Regan Rep",NA
"1403-4956","Scandinavian journal of public health. Supplement","Scand J Public Health Suppl",NA
"1551-9074","SIDAhora : un proyecto del Departamento de Publicaciones del PWA Coalition, NY","Sidahora",NA
"1059-0927","Revolution (Oakland, Calif.)","Revolution (Oakl)",NA
"1528-7386","Internet healthcare strategies","Internet Healthc Strateg",NA
"1074-2395","Journal of the Physicians Association for AIDS Care","J Physicians Assoc AIDS Care",NA
"0885-3010","IEEE transactions on ultrasonics, ferroelectrics, and frequency control","IEEE Trans Ultrason Ferroelectr Freq Control",2.725
"1525-8955","IEEE transactions on ultrasonics, ferroelectrics, and frequency control","IEEE Trans Ultrason Ferroelectr Freq Control",NA
"0531-5522","Experimental and molecular pathology. Supplement","Exp Mol Pathol Suppl",NA
"1868-1050","Kongressband. Deutsche Gesellschaft fur Chirurgie. Kongress","Kongressbd Dtsch Ges Chir Kongr",NA
"1181-7186","TreatmentUpdate","TreatmentUpdate",NA
